!T.O.O.H.!,death metal//progressive metal//grindcore metal
Valsblut,black metal
Valtakunta,black metal
Valth Beake,black metal
Valtiel,doom metal
Valvadrach,groove metal//thrash metal
Valveline,groove metal
Valyria,death metal//power metal
Vampa,heavy metal
Vampenstein,black metal//death metal
Vampir,black metal
Vampire Hall,black metal
Vampire Mooose,groove metal
Vampire Pledge,power metal
Vampire Vane,black metal
Vampire's Castle,black metal//symphonic metal//gothic metal
VampireCunt,death metal
Vampires Razor,metalcore metal//death metal
Vampiria,black metal//gothic metal
Vampiric Dominium,black metal
Vampiric Motives,death metal//grindcore metal
Vamps,thrash metal
Vampyric Bvrial,black metal
Vampyromorpha,heavy metal//doom metal
Vampyrsgard,black metal
Van Canto,power metal
Van Demon,death metal
Van Friscia,progressive metal
Van Proust,heavy metal
Van Stalin,heavy metal
Vanadis,symphonic metal//gothic metal
Vanadium,progressive metal//thrash metal//heavy metal
Vanagloria,metalcore metal//power metal
Vandal Killer,heavy metal
Vandalis,power metal
Vandals,thrash metal//speed metal
Vandamne,heavy metal
Vanderhoof,heavy metal
Vanessa,heavy metal
Vanexa,heavy metal
Vanguard,deathcore metal//black metal//death metal//symphonic metal//power metal//gothic metal//thrash metal//heavy metal
Vanguard X Mortem,symphonic metal
Vanguard!,speed metal
Vanguarda,progressive metal
Vanha,death metal//doom metal
Vanhelgd,death metal
Vanik,heavy metal//speed metal
Vanilla Rex,progressive metal
Vanish,power metal
Vanisher,metalcore metal//death metal
Vanishine,symphonic metal//power metal
Vanishing Point,progressive metal//heavy metal
Vanity,death metal//progressive metal
Vanity 4,thrash metal
Vanity Alive,progressive metal
Vanity Ruins,death metal//thrash metal
Vanize,heavy metal
Vanryshen,black metal
Vantablack Warship,death metal//thrash metal
Vantro,black metal
Vanvidd,black metal//folk metal
Vapid,black metal//death metal
Varacat,groove metal//heavy metal
Varangian,death metal
Varathron,black metal
Vardager,death metal
Vardemis,black metal
Varden Fall,viking metal//folk metal
Vardlokkur,black metal//pagan metal
Varg,metalcore metal//black metal//death metal
Varg Order,black metal
Varganath,death metal//viking metal
Vargariket,black metal
Vargaroth,black metal
Vargas,black metal
Vargavinter,black metal//death metal//pagan metal//doom metal
Vargleide,black metal
Vargnatt,black metal
Vargnogk,black metal
Vargrimm,black metal
Vargsang,black metal
Vargsblod,black metal
Vargsheim,black metal
Vargskelethor,death metal//thrash metal
Vargskog,black metal//death metal//viking metal
Vargsriket,black metal
Vargsvinter,black metal
Vargthron,black metal
Vargtimmen,black metal//thrash metal
Vargulf,black metal
Variety of Arts,progressive metal
Varituuk,black metal//doom metal
Varkan,thrash metal//heavy metal
Varkel,black metal
Varklek,black metal//doom metal
Varkodya,death metal
Varmgard,black metal//death metal
Varnacht,black metal
Varnish,progressive metal
Varsam Daud,black metal
Varterin,power metal//progressive metal
Varua Ino,groove metal//thrash metal
Varulv,black metal
Varuna,black metal//avant-garde metal
Varya,heavy metal
Vasaeleth,death metal
Vasari,progressive metal//heavy metal
Vasaria,gothic metal
Vasco da Gama,heavy metal
Vashna,black metal//death metal
Vasilisck,black metal
Vaskheim,black metal
Vaspooher,heavy metal//doom metal
Vassafor,black metal
Vassago,black metal//death metal//thrash metal//doom metal
Vast,progressive metal
Vast Hollow,black metal//death metal//doom metal
Vast Minority,thrash metal
Vastago,death metal//thrash metal
Vaste Burai,sludge metal
Vat of Fat,sludge metal//doom metal
Vates,death metal//thrash metal
Vathek,black metal//death metal//thrash metal
Vatican Plague,black metal
Vatikan,groove metal//thrash metal
Vattnet,black metal
Vaughn,heavy metal
Vault 101,thrash metal
Vault of Acanthus,symphonic metal//progressive metal
Vault of Pain,metalcore metal
Vault of Valor,metalcore metal
Vaura,black metal//avant-garde metal
Vavel,heavy metal
Vavoura Band,heavy metal
Vaylor,power metal//thrash metal
Veal,metalcore metal//groove metal
Vebrifuge,thrash metal//speed metal
Vecordia,folk metal
Ved Buens Ende,black metal//avant-garde metal
Vedar Gal,black metal
Vediog Svaor,black metal//progressive metal
Vedmak,black metal//death metal
Vedonist,death metal//thrash metal
Vedova,doom metal
Vedtmist,black metal
Veelzevul,black metal
Vega,heavy metal
Vegan Black Metal Chef,black metal//symphonic metal
Vegnah,heavy metal
Vegr,black metal//folk metal
Vehemal,black metal
Vehemencia,death metal//thrash metal//heavy metal
Vehement,groove metal//black metal//death metal//symphonic metal//thrash metal
Vehement Animosity,death metal//progressive metal
Vehement Thrower,death metal
Vehementer Nos,black metal//progressive metal
Vehemenz,black metal
Veia,black metal
Veil,black metal//death metal//heavy metal
Veil Torn,black metal
Veil of Anguish,black metal//symphonic metal
Veil of Deception,groove metal//heavy metal
Veil of Maya,deathcore metal//progressive metal
Veil of Nithael,black metal//symphonic metal
Veil of Shadow,black metal
Veil of Sin,gothic metal
Veil of Winter,black metal
Veiled,black metal
Veiled Moon,black metal
Veiled in Flesh,death metal
Veiling Distress,death metal//doom metal
Veils of Perception,black metal//death metal//symphonic metal
Veineliis,black metal
Veinless,thrash metal
Veintears,black metal
Veivi,industrial metal//heavy metal
Vektor,progressive metal//thrash metal
Vekum,black metal//death metal
Vekygach,black metal
Velaad,black metal
Velattore,power metal//heavy metal
Velchans,black metal
Veld,black metal//death metal
Velde,black metal
Veldlokk,black metal
Velesvolk,black metal
Velforest,heavy metal
Velhalla,thrash metal
Velho,black metal//speed metal
Velinas,gothic metal//doom metal
Vell'z Fire,heavy metal
Vellozet,death metal//thrash metal
Velm,black metal//pagan metal
Velmentia,power metal
Velnezers,black metal
Velnias,doom metal//folk metal
Velo Negro,power metal
Veloce Hystoria,progressive metal//heavy metal
Velociter,thrash metal//heavy metal
Velozza,thrash metal
Velphas,black metal
Velula,progressive metal
Velvet Masque,death metal//gothic metal
Velvet Robe,doom metal
Velvet Spider,heavy metal
Velvet Thorns,black metal//death metal//doom metal
Velvet Vex,heavy metal
Velvet Viper,power metal//heavy metal
Vemmelig,black metal
Vemod,black metal
Vemorrah,death metal
Vena Cava,death metal
Vendetta,death metal//power metal//thrash metal//heavy metal//speed metal
Vendetta Inc.,groove metal
Vendul,black metal
Venduzor,death metal
Venefixion,death metal
Venemous,thrash metal
Venena,thrash metal
Venenum,death metal
Venerea,death metal//thrash metal
Veneror,black metal
Venganxa,power metal//thrash metal
Vengeance Incorporated,heavy metal
Vengeance Pleasure,heavy metal
Vengeance Within,death metal
Vengeance in Blood,black metal
Vengeance of Mine,death metal
Vengeful Oath,thrash metal//experimental metal
Vengence,thrash metal
Venger,heavy metal
Vengince,thrash metal
Veni Domine,progressive metal//doom metal
Venia,heavy metal
Venial Embrace,sludge metal//thrash metal//heavy metal
Venial Sin,death metal//progressive metal
Venien,black metal
Venifica Inferi,black metal
Venin Noir,gothic metal
Vennus,heavy metal
Venoject,thrash metal
Venom,black metal//speed metal
Venom Inc.,black metal//speed metal
Venomed,death metal
Venomin James,stoner metal//doom metal
Venomous,black metal//death metal//thrash metal
Venomous Desire,black metal//symphonic metal
Venomous Maximus,heavy metal//doom metal
Venomous Supremacy,death metal
Venomous Tusk,stoner metal//heavy metal
Vent d'Automne,black metal//experimental metal
Venter Caret Auribus,black metal//gothic metal
Venthole,heavy metal
Ventorial,doom metal
Ventorior,death metal
Venturia,progressive metal
Venus Attack,progressive metal//heavy metal
Venus Blue,stoner metal//doom metal
Venus Mark,black metal
Venus Meadow,symphonic metal
Venus Mountains,heavy metal
Venus Star,black metal
Venusian Death Cell,black metal//death metal
VerSacrum,black metal//thrash metal
Vera Efigies Instrumentis Oscurum,gothic metal//doom metal
Veracitor,power metal//thrash metal
Veratu,black metal
Veratyr,black metal
Verbal Deception,death metal//folk metal
Verberis,black metal//death metal
Verbimus,black metal//doom metal
Verbuc,black metal
Verbum,black metal//doom metal
Vercelum,black metal
Vercodia,death metal
Verd Foraktelige,black metal
Verdammnis,black metal
Verdelet,black metal
Verdelger,black metal
Verderben,black metal
Verdict Denied,thrash metal
Verdorven,black metal
Verdugo,death metal//thrash metal
Vereor Nox,black metal//death metal//symphonic metal
Verfall,black metal//death metal
Verfallen,black metal//viking metal//folk metal
Vergel,black metal
Vergelmir,power metal//progressive metal//folk metal
Vergine Stuprata,black metal
Vergissmichnicht,black metal//doom metal
Verglas,black metal
Vergotten,death metal
Verhasst,black metal
Verialttari,black metal
Veriez,black metal
Verigga,heavy metal
Verismo,thrash metal
Veritas Mentis,black metal
Veritasu,black metal//symphonic metal
Veritatem Solam,death metal
Verivala,black metal
Verkrag,black metal//avant-garde metal
Verment,deathcore metal//death metal
Vermeth,black metal
Vermiis,black metal
Vermilion,black metal//experimental metal
Vermillion,death metal
Vermillion Days,death metal//thrash metal
Vermillion-D Alice Syndrome,death metal//power metal
Vermin,black metal//death metal//thrash metal//speed metal
Vermin Plague,death metal
Vermine,black metal
Verminlord,black metal
Vermis,black metal//death metal
Vermis Antecessor,death metal
Vermis Miserae,black metal
Vermis Mysteriis,black metal
Vermis de Inferni,black metal
Vernal Tempest,black metal
Vernent,black metal
Vernia Caliper,heavy metal
Vernichten,death metal
Vernichtung,black metal
Vernichtungsanxt,death metal//grindcore metal
Vernichtungsfeldzug,black metal
Vernichtungskamp,black metal
Veroxity,death metal
Verres Militares,death metal
Versano,black metal
Verschlinger,black metal
Verscythe,power metal//heavy metal
Verses All,death metal
Versifist,black metal//death metal
Versklaven,thrash metal
Versum Erebus,death metal
Versus,death metal//power metal//thrash metal//grindcore metal
Versus the Undead,death metal//thrash metal
Versvs,thrash metal
Vertebra,metalcore metal//death metal//thrash metal//doom metal
Vertebrae,black metal
Vertebral,death metal
Vertex of the Hybrid,power metal
Verthebral,death metal
Vertical After,thrash metal//heavy metal
Verum Organum,heavy metal//doom metal
Verus Hostilis,black metal//avant-garde metal
Verwaint,thrash metal
Very Bad Things,thrash metal
"Very, Very Dead & Gory",grindcore metal
Vesano,black metal
Vescera,heavy metal
Vesicant,black metal//death metal//thrash metal
Vesication,death metal//grindcore metal
Vesper,black metal//thrash metal
Vespera,black metal//gothic metal//industrial metal
Vesperian Sorrow,black metal//symphonic metal
Vespero,death metal
Vespertine,black metal
Vessel,groove metal//black metal//heavy metal
Vesterian,black metal
Vesthigios,power metal//heavy metal
Vestibulum,black metal
Vestige of Virtue,gothic metal//doom metal
Vestigia,heavy metal
Vestigio,metalcore metal//death metal
Vestigium Dei,thrash metal
Vetala,black metal
Veter Daemonaz,black metal
Vetitum,gothic metal
Vetrar Draugurinn,gothic metal
Vetur,black metal
Veturheim,black metal
Veturkuldi,black metal
Vetusmora,black metal
Veuve,stoner metal
VexatiSouls,progressive metal
Vexatio,death metal
Vexator,death metal
Vexatum,black metal//death metal
Vexatus,death metal
Vexilla Regis Prodeunt Inferni,death metal
Vexillum,black metal//power metal//folk metal
Vexing Souls,gothic metal
Vexitum,death metal
Vfanhthore,black metal
Vhan,metalcore metal//groove metal//thrash metal
Vhod,death metal//stoner metal//doom metal
Vhol,black metal//power metal
Vholdghast,black metal//death metal
Vhumi,death metal
Via Dolorosa,black metal//death metal//progressive metal//gothic metal//thrash metal//doom metal
Via Mistica,gothic metal//doom metal
Via Vengeance,progressive metal
Viable,groove metal
Viaje a 800,stoner metal//doom metal
Vialate,thrash metal
Viam Excelsvm,black metal//death metal
Viathyn,power metal//progressive metal
Viatrophy,metalcore metal//death metal
Vibera,thrash metal//speed metal
Vibrator Failure,death metal//grindcore metal
Vicarivs Filii Dei,black metal
Vice,metalcore metal//death metal//power metal//thrash metal//heavy metal//speed metal
Vice Human,heavy metal
Vice Versa,power metal//progressive metal
Viceroy,death metal
Vicinity,progressive metal
Vicious,groove metal//death metal//thrash metal//heavy metal
Vicious Art,death metal
Vicious Azael,death metal//grindcore metal
Vicious Circle,black metal//death metal//thrash metal//heavy metal
Vicious Crowd,heavy metal
Vicious Grave,death metal//thrash metal//grindcore metal
Vicious Maggot,death metal//thrash metal
Vicious Mary,heavy metal
Vicious Power,thrash metal
Viciousphere,groove metal//thrash metal
Vicolo Inferno,heavy metal
Victim,black metal//death metal//progressive metal//thrash metal//heavy metal//speed metal
Victim Identified,death metal//grindcore metal
Victim Path,black metal
Victim X,thrash metal
Victim of Reality,thrash metal
Victim of Thought,metalcore metal//groove metal
Victim's Foretaste,death metal
Victime Quelconque,black metal//doom metal
Victimize,groove metal//thrash metal
Victims Reborn,heavy metal
Victims of Creation,death metal//doom metal
Victims of Voodoo,thrash metal
Victor Griffin,doom metal
Victor Smolski,avant-garde metal
Victorian Whore Dogs,sludge metal
Victorians - Aristocrats' Symphony,symphonic metal//power metal
Victorious War,progressive metal
Victorium,power metal//speed metal
Victory Parade,power metal//doom metal
Victory Vain,death metal
Victory in Blood,thrash metal//heavy metal
Vidar,death metal//folk metal
Videmur,black metal
Vidharr,black metal
Vidian,death metal//experimental metal
Vidock,heavy metal
Vidrir,black metal
Vidvandre,doom metal
Viejo Madison,heavy metal
Viemia,black metal
Viento Negro,heavy metal
Vierte Reich,black metal
Viet-Com,thrash metal//heavy metal
Vietah,black metal
Vietnam,thrash metal
Vietnam's Slaughter,thrash metal
Vietus Mortuus,black metal
Vigdis,symphonic metal
Viggen,black metal//symphonic metal//thrash metal
Vigil,death metal//progressive metal//thrash metal
Vigilance,black metal//progressive metal//thrash metal//heavy metal
Vigore,thrash metal
Vigorexia,black metal
Vigour,black metal
Vigour Abruptness,black metal
Vigred,black metal//symphonic metal
Vigrid,black metal//viking metal//folk metal
Vigsoroth Moshamarahoth,black metal
Viha Surma,black metal
Vihaan,progressive metal
Viingrid,black metal
Viirastus,black metal
Vikas,metalcore metal
Vikindin,black metal//death metal
Viking,thrash metal
Viking Crown,black metal
Viking Galaxy,power metal
Viking Skull,heavy metal
Viking Throne,black metal
Viking from Norway,black metal//pagan metal
Vikingblood,black metal
Vikingore,death metal//viking metal
Vikings,heavy metal
Vikings and Gods,metalcore metal//death metal
Vil,black metal
Vil Existencia,thrash metal//heavy metal
Vila,death metal
Vilarum,thrash metal
Vile,death metal//thrash metal
Vile Desecration,black metal
Vile Disgorgement,death metal
Vile Disgust,death metal//grindcore metal
Vile Disturbance,death metal
Vile Insignia,black metal//death metal
Vile Reign,death metal//grindcore metal
Vile Retribution,death metal
Vile Scar,death metal
Vilemass,death metal//thrash metal
Vilifier,death metal
Vilitas,black metal
Vilkates,black metal
Vill,heavy metal
Village,stoner metal//doom metal
Village of Dead Roads,sludge metal//doom metal
Villains,death metal//thrash metal
Villainthropy,power metal//gothic metal
Villan,power metal
Vilthrone,black metal
Vilu,black metal
Vimur,black metal
Vin Death,black metal
Vinagron,death metal//grindcore metal
Vince House,thrash metal
Vince Vatican,heavy metal
Vincent,heavy metal
Vincent's Betrayal,progressive metal
Vincenzo Marretta,heavy metal
Vindbok,black metal
Vinden av Krig,thrash metal
Vinder,thrash metal//heavy metal
Vindicate,groove metal//death metal//thrash metal
Vindictify,heavy metal
Vindiction,groove metal//death metal//thrash metal
Vindictive,groove metal//black metal//death metal//thrash metal
Vindictive Amputation,death metal
Vindictus,power metal//heavy metal
Vindikation,death metal//progressive metal
Vindorn,black metal
Vine,heavy metal
Vineta,pagan metal//folk metal
Vingador,thrash metal//heavy metal//speed metal
Vingdar,black metal
Vingulmork,thrash metal
Vinland Warriors,groove metal
Vinnie Pereira,power metal
Vintage,power metal
Vintage Flesh,black metal//doom metal
Vintage Warlords,death metal//doom metal
Vintegaas,death metal
Vintenar,black metal//symphonic metal
Vinterbarn,death metal//progressive metal
Vintered,black metal
Vinterheim,black metal
Vinterland,black metal
Vinterriket,black metal
Vintersea,death metal//progressive metal
Vintersemestre,black metal
Vinterskald,black metal//pagan metal
Vinterskog,black metal//pagan metal
Vinterslav,black metal
Vintersorg,progressive metal
Vinterthron,black metal
Vinterthrone,black metal
Vinthar,black metal//symphonic metal
Vintress,black metal
Violand,groove metal//thrash metal
Violate,death metal//thrash metal
Violated,death metal//thrash metal
Violation,death metal//power metal//thrash metal//heavy metal
Violation of the Devout,black metal
Violator,death metal//power metal//thrash metal//heavy metal//speed metal
Violence Call,thrash metal
Violence from Within,deathcore metal
Violenjiger,black metal//doom metal
Violent Assault,black metal//thrash metal
Violent Asylum,groove metal//death metal
Violent Creed,thrash metal
Violent Crush,black metal//thrash metal
Violent Curse,thrash metal
Violent Deception,thrash metal//heavy metal
Violent Demise,death metal
Violent Devoties,death metal//grindcore metal
Violent Disaster,thrash metal
Violent Eve,metalcore metal//death metal
Violent Force,thrash metal
Violent Green,sludge metal//death metal
Violent Hammer,death metal
Violent Hate,death metal
Violent Homicide,thrash metal
Violent Impact,death metal//thrash metal
Violent Insanity,thrash metal
Violent Mood Swing,groove metal//heavy metal
Violent Obsession,progressive metal
Violent Omen,progressive metal//thrash metal
Violent Playground,thrash metal
Violent Power,heavy metal
Violent Queen,heavy metal
Violent Reign,thrash metal
Violent Retribution,metalcore metal
Violent Revolution,thrash metal
Violent Solution,thrash metal
Violent Sutura,metalcore metal//groove metal
Violent Touch,heavy metal
Violent Vendetta,metalcore metal
Violent Virtues,metalcore metal//death metal
Violentada,death metal//thrash metal
Violenthrash,black metal//thrash metal
Violento,thrash metal
Violentory,death metal//progressive metal
Violet,black metal//progressive metal//doom metal
Violet Magick,heavy metal//doom metal
Violet Moon Shining,gothic metal
Violet Vortex,doom metal
Violet Wind,heavy metal
Violletta Villazz,deathcore metal
Vios Olethrios,groove metal//thrash metal
Viper,death metal//power metal//thrash metal//heavy metal
Viper Solfa,black metal//power metal//gothic metal
Vipera Aspis,black metal
Viperion,thrash metal
Viperous,black metal//death metal
Viraemia,death metal
Viraga,doom metal
Viral Encephalitis,death metal//grindcore metal
Viral Load,death metal
Viral Mutation,thrash metal
Viranesir,black metal
Virgin Black,symphonic metal//gothic metal//doom metal
Virgin Destroyers,thrash metal
Virgin Forest,doom metal
Virgin Sin,thrash metal
Virgin Steel,heavy metal
Virgin Steele,power metal//heavy metal
Virgin Turkey,thrash metal
Virgin Witch,black metal//death metal//thrash metal//doom metal
Virginia Clemm,deathcore metal
Virgo Laceratus,black metal
Viridicorn,black metal
Virium,black metal//thrash metal
Viroment,thrash metal
Virophage,black metal
Virtigo,black metal//industrial metal
Virtual Insanity,thrash metal
Virtual Proyect,power metal//heavy metal
Virtual Symmetry,progressive metal
Virtual Void,death metal//thrash metal
Virtual Voyage,death metal
Virtues of the Beast,thrash metal
Virtuocity,heavy metal
Virulency,death metal
Virulent,death metal
Virulent Specter,black metal
Virulentos,death metal//grindcore metal
Virulus,progressive metal//thrash metal
Virulys,death metal
Virus,death metal//avant-garde metal//industrial metal//thrash metal//heavy metal//grindcore metal
Virus IV,power metal//heavy metal
Virus from Hell,thrash metal//heavy metal
Virus of Koch,black metal//death metal
Viruzy,heavy metal
Virvalainen,heavy metal
Vis Vitalis,power metal//heavy metal
Viscera,black metal//death metal//power metal
Viscera Trail,death metal//grindcore metal
Visceral,death metal//industrial metal//thrash metal//grindcore metal
Visceral Damage,death metal//grindcore metal
Visceral Deity,death metal//grindcore metal
Visceral Disorder,death metal
Visceral Dissection,death metal
Visceral Evisceration,death metal//doom metal
Visceral Grinder,death metal//grindcore metal
Visceral Hate,death metal
Visceral Infection,death metal//grindcore metal
Visceral Kreation,black metal
Visceral Leishmaniasis,death metal
Visceral Odium,death metal//grindcore metal
Visceral Pain,death metal
Visceral Slaughter,death metal
Visceral Strangulation,death metal
Visceral Throne,death metal
Visceral Tumor,death metal//grindcore metal
Visceral Vomit,death metal
Visceromegalia,death metal//grindcore metal
Viscid Viscera,heavy metal
Viscral,death metal
Visdommen,black metal//death metal
Visibilium,black metal//death metal
Visideon,thrash metal//heavy metal
Visigoth,power metal//heavy metal
Visio Mortis,death metal
Vision,black metal//death metal//progressive metal//thrash metal//heavy metal
Vision Decay,death metal
Vision Eyes,metalcore metal//death metal
Vision Lunar,black metal
Vision Purple,power metal//thrash metal
Vision of Mara,black metal
VisionFall,metalcore metal//death metal//thrash metal
Visionaire,death metal//gothic metal//doom metal
Visionary,death metal//progressive metal
Visionary666,death metal
Visioned Frailty,death metal//doom metal
Visions Through Hate,death metal
Visions of Brutality,death metal//thrash metal
Visions of Death,thrash metal
Visions of Disfigurement,death metal
Visitant,black metal//death metal
Vismal,death metal
Vistery,death metal
Visum,grindcore metal
Visuri,black metal
Vit,black metal//experimental metal
Vitae Ex Novo,death metal//progressive metal
Vital,thrash metal//heavy metal
Vital Drain,death metal
Vital Essence,symphonic metal//heavy metal
Vital Fluid,death metal
Vital Mission,heavy metal
Vital Signs,heavy metal
Vital Wound,doom metal
Vital-Lusion,heavy metal
Vitalecco,thrash metal
Vitales Exsequiae,death metal//progressive metal//doom metal
Vitalij Kuprij,progressive metal
Vitam et Mortem,death metal
Viter,folk metal
Vitiate,death metal
Vitiris,black metal
Vitrectomy,black metal
Vitri,black metal
Vitrial,heavy metal
Vitriol,metalcore metal//black metal//death metal//progressive metal//heavy metal
Vitriolised,death metal
Vitruvius,progressive metal
Vitsaus,black metal
Vittra,black metal
Vittrah,black metal//death metal
Vituperation,death metal//thrash metal
Vituperio,black metal
Viu Drakh,death metal
Viva,heavy metal
Vivaldis Disciples,doom metal
Viverna,black metal
Vivi X Caso,heavy metal
Vivian,heavy metal
Vivian Black,black metal
Vivicide,death metal
Vivid,heavy metal
Vivid Circus,progressive metal
Vivid Dreams,black metal
Vivid Illusion,sludge metal//progressive metal
Vivid X,death metal
Vivisector,death metal
Vivus Humare,black metal
Vixen,power metal//thrash metal//heavy metal//speed metal
Vixenta,black metal
Vixerunt,black metal
Vixit,speed metal
Vizaresh,death metal
Vizio,heavy metal
Vizir,black metal//death metal//heavy metal//grindcore metal
Vizulize This,death metal//thrash metal
Vlad Dracullare,black metal
Vlad Drakul,black metal
Vlad's Fortress,black metal
Vladislas,black metal
Vlesdli,black metal
Vlkodlak,black metal//folk metal
Vlkoslak,black metal//symphonic metal
Vlnter,thrash metal//heavy metal
Voarm,black metal
Vobiscum Inferni,black metal
Vocatus,death metal//thrash metal
Voces del Odio,metalcore metal
Vociferor,black metal
Vociferous,black metal//death metal//thrash metal
Vocis,death metal
Voczvm,black metal
Vodkaos,thrash metal//speed metal
Vodu,power metal//speed metal
Voe,doom metal
Vogelfrey,folk metal
Vogelkopf,black metal
Vogelsang,black metal//folk metal
Voice of Hell,thrash metal
Voice of M.I.N.D.,progressive metal//thrash metal
Voice of Midnight,black metal//viking metal//folk metal
Voice of Reason,death metal//grindcore metal
Voice of Tranquility,death metal//thrash metal
Voice of Wrath,thrash metal
Voiceless Minority,metalcore metal//death metal//thrash metal
Voiceless Void,gothic metal//doom metal
Voices,black metal//death metal//progressive metal//thrash metal
Voices Experiment,power metal//heavy metal
Voices from Beyond,thrash metal
Voices of Destiny,symphonic metal//power metal//heavy metal
Voices of Ruin,death metal
Voices of the Dead,death metal
Void,deathcore metal//black metal//death metal//symphonic metal//industrial metal//thrash metal//heavy metal//doom metal
Void Commander,stoner metal//doom metal
Void Creation,death metal//thrash metal
Void Cruiser,stoner metal
Void Dweller,black metal//death metal
Void Meditation Cult,black metal
Void Obelisk,sludge metal//doom metal
Void Omnia,black metal
Void Prayer,black metal
Void Wraith,black metal
Void of Sleep,sludge metal//stoner metal
VoidCeremony,black metal//death metal//progressive metal
VoidWalker,metalcore metal//groove metal
Voidchrist,black metal
Voiden,black metal//death metal//thrash metal
Voidhanger,black metal//death metal//thrash metal
Voidless,groove metal//thrash metal
Voidnaga,black metal//death metal//doom metal
Voidspawn,death metal
Voidspell,black metal
Voidthrone,black metal//death metal
Voidust,thrash metal
Voie de Fait,heavy metal
Voight Kampff,thrash metal
Vokodlok,black metal
Vokyl,death metal//progressive metal
Volahn,black metal
Volaticus,death metal
Volatil,thrash metal
Volaverunt,heavy metal
Volcano,power metal//thrash metal//heavy metal//doom metal
Volfenkreuz,black metal
Volfgarn,black metal//death metal
Volharding,death metal
Volition,sludge metal//death metal//thrash metal//doom metal//grindcore metal
Volkana,thrash metal
VolkeinBlucht,black metal
Volkemord,black metal
Volker,power metal//progressive metal//heavy metal
Volkermord,black metal//progressive metal//doom metal
Volkmort,death metal//doom metal
Volkskampf,black metal
Vollmond,black metal//doom metal
Voloh,pagan metal//folk metal
Volrathv,black metal
Volsung,black metal//death metal//viking metal
Volt Idiot,death metal//grindcore metal
Voltage Kill,thrash metal
Voltan,black metal
Voltax,heavy metal
Voltmor,death metal//thrash metal
Voltron,metalcore metal//doom metal
Volturyon,death metal
Volucrine,death metal//progressive metal
Voluntaria,black metal
Voluntary,power metal
Volv,death metal
Volymian,heavy metal
Volziege,heavy metal
Vomepotro,death metal
Vomicide,black metal//progressive metal//thrash metal
Vomicus,black metal
Vomit Angel,death metal//grindcore metal
Vomit Cake,death metal
Vomit Church,black metal
Vomit Death,death metal//grindcore metal
Vomit Devourer,death metal
Vomit Disease,death metal
Vomit Fist,grindcore metal
Vomit God,death metal
Vomit Kult,black metal
Vomit Monster,stoner metal//doom metal
Vomit Putridity,grindcore metal
Vomit Slaughter,thrash metal//grindcore metal
Vomit Slit,death metal//grindcore metal
Vomit Snack,death metal//thrash metal//grindcore metal
Vomit Stain,death metal//thrash metal
Vomit Trough,death metal//grindcore metal
Vomit Your Brain,deathcore metal//death metal
Vomit of Doom,black metal//thrash metal
Vomit of Torture,death metal
Vomit the Soul,death metal//grindcore metal
VomitBeast,black metal
Vomited Broth,death metal
Vomiting Corpses,death metal
Vomiting Goat,black metal//thrash metal
Vomitology,death metal
Vomitomb,black metal//death metal//thrash metal//grindcore metal
Vomitor,death metal//thrash metal
Vomitorium,death metal
Vomitose,progressive metal//industrial metal//thrash metal
Vomitous,death metal
Vomitous Mass,death metal
Vomitous Rectum,death metal//grindcore metal
Vomitself,sludge metal//doom metal//grindcore metal
Vomiture,thrash metal
Vomiturition,death metal
Vomitwolves,black metal//death metal
Von,black metal
Von Dymon,progressive metal//heavy metal
Von Glahn,heavy metal
Von Panzer,heavy metal
Von Sirius,gothic metal
Von Tesla,heavy metal
Vondur,black metal
Vonn,industrial metal//doom metal
Vonthor,black metal//pagan metal
Voodoma,heavy metal
Voodoo Child,heavy metal
Voodoo Hill,progressive metal
Voodoo Lordz,thrash metal
Voodoo Militia,heavy metal
Voodoo Moonshine,heavy metal
Voodoo Temple,heavy metal
Voodoo Terror Tribe,progressive metal//thrash metal
Voodoocult,thrash metal
Voodoopriest,death metal//thrash metal
Voodus,black metal
Vorace,groove metal//death metal//progressive metal//thrash metal
Voracious,death metal
Voracious Gangrene,death metal
Voracious Souls,power metal//thrash metal
Vorader,thrash metal
Vorage,death metal
Voragine of Autumn,black metal//progressive metal
Vorago,black metal//death metal//thrash metal
Vorarephilia,death metal
Vorax,heavy metal
Vorbkt,black metal
Vordr,black metal
Vorfahrkult,black metal
Vorfheruz,black metal
Vorghoth,black metal
Vorgormorth,black metal//death metal
Vorgrum,pagan metal
Vorkreist,black metal//death metal
Vorkuta,black metal
Vornicor,heavy metal
Vornth,black metal//thrash metal
Vorongrai,gothic metal//doom metal
Voros,groove metal//death metal
Vorpal Bunny,death metal
Vortex,metalcore metal//black metal//death metal//power metal//progressive metal//industrial metal//thrash metal//heavy metal
Vortex Core,thrash metal
Vortex Syndrome,black metal//death metal//industrial metal
Vortex to the Shadows,sludge metal//death metal
Vortice Cremisi,doom metal
Vorticis,power metal//gothic metal
Vortigen,thrash metal
Vorum,death metal
Vorzug,death metal
Vostok,black metal//doom metal
Vostrogor,black metal
Votan,black metal//heavy metal//speed metal
Votary,death metal
Vougan,power metal//progressive metal
Vow,black metal
Vow of Silence,death metal//doom metal
Vow of Thorns,black metal//doom metal
Vowels,black metal
Vox Interium,death metal//thrash metal
Vox Malorum,black metal
Vox Mortem,thrash metal
Vox Mortis,thrash metal
Vox Sanguiniis,black metal
Vox Satanas,black metal
Voxhumana,thrash metal
